source	path	disposition	owner_issue	wiki_invariant	verification	rationale
pr71	internal/evalharness/client_test.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/evalharness/judge.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/evalharness/judge_test.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/evalharness/load.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/evalharness/load_test.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/evalharness/runner.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/evalharness/runner_dream_test.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/evalharness/runner_import_test.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/evalharness/runner_score_additional_test.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/evalharness/runner_scoring_test.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/evalharness/runner_test.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/evalharness/score.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/evalharness/types.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/http/dto/recall.go	replace	#85	evidence-primary recall	recall ranking and branch degradation tests	Port recall with evidence-first ranking and bounded degradation
pr71	internal/http/handler/recall_handler.go	replace	#85	evidence-primary recall	recall ranking and branch degradation tests	Port recall with evidence-first ranking and bounded degradation
pr71	internal/http/handler/recall_handler_test.go	replace	#85	evidence-primary recall	recall ranking and branch degradation tests	Port recall with evidence-first ranking and bounded degradation
pr71	internal/http/handler/tool_catalog_handler_test.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	internal/http/middleware/rate_limit_test.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	internal/http/user_portal.go	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	internal/http/user_portal_test.go	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	internal/mcp/server_test.go	replace	#88	feedback and evaluation tools	feedback snapshot and registry visibility tests	Port feedback and evaluation-only tools without mutating semantic truth
pr71	internal/openapi/knowledge_schemas.go	replace	#75	V2 contracts	owning issue acceptance tests	Use PR71 as evidence while freezing the wiki-conform contract first
pr71	internal/openapi/routes.go	replace	#75	V2 contracts	owning issue acceptance tests	Use PR71 as evidence while freezing the wiki-conform contract first
pr71	internal/repository/memory_placement_repository.go	replace	#83	atomic placement outcomes	placement worker and transaction tests	Rebuild placement leases and outcomes as atomic PostgreSQL state
pr71	internal/repository/memory_placement_repository_test.go	replace	#83	atomic placement outcomes	placement worker and transaction tests	Rebuild placement leases and outcomes as atomic PostgreSQL state
pr71	internal/repository/profile_repository_test.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	internal/repository/semantic_hypothesis_read.go	replace	#89	candidate-safe hypotheses	dream lifecycle and source-version tests	Keep generated hypotheses separate from evidence and default recall
pr71	internal/repository/semantic_repository.go	replace	#79	semantic identity and lifecycle	semantic repository integration tests	Use PR71 shape as evidence for normalized Entity Value Relationship ledger
pr71	internal/repository/semantic_repository_embedding.go	replace	#80	versioned search and embeddings	pgvector search contract/generation tests	Implement versioned search documents and vector storage with activation gates
pr71	internal/repository/semantic_repository_graph.go	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	internal/repository/semantic_repository_graph_test.go	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	internal/repository/semantic_repository_read.go	replace	#79	semantic identity and lifecycle	semantic repository integration tests	Use PR71 shape as evidence for normalized Entity Value Relationship ledger
pr71	internal/repository/semantic_repository_recall_helpers.go	replace	#85	evidence-primary recall	recall ranking and branch degradation tests	Port recall with evidence-first ranking and bounded degradation
pr71	internal/repository/semantic_repository_scan.go	replace	#79	semantic identity and lifecycle	semantic repository integration tests	Use PR71 shape as evidence for normalized Entity Value Relationship ledger
pr71	internal/repository/semantic_repository_search_document.go	replace	#80	versioned search and embeddings	pgvector search contract/generation tests	Implement versioned search documents and vector storage with activation gates
pr71	internal/repository/semantic_repository_security.go	replace	#78	security and evidence ledger	real PostgreSQL ledger and RLS tests	Implement append-only security/evidence ledger under wiki RLS rules
pr71	internal/repository/semantic_repository_test.go	replace	#79	semantic identity and lifecycle	semantic repository integration tests	Use PR71 shape as evidence for normalized Entity Value Relationship ledger
pr71	internal/repository/semantic_repository_trace.go	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	internal/repository/semantic_repository_value.go	replace	#79	semantic identity and lifecycle	semantic repository integration tests	Use PR71 shape as evidence for normalized Entity Value Relationship ledger
pr71	internal/repository/semantic_repository_vector_read.go	replace	#80	versioned search and embeddings	pgvector search contract/generation tests	Implement versioned search documents and vector storage with activation gates
pr71	internal/service/audit_service_test.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	internal/service/claimidentity/identity_test.go	replace	#79	semantic identity and lifecycle	semantic repository integration tests	Use PR71 shape as evidence for normalized Entity Value Relationship ledger
pr71	internal/service/claimservice/create_test.go	replace	#87	correction and forget lifecycle	lifecycle owner-mutation tests	Replace v1 lifecycle expectations with owner-scoped V2 correction and forget behavior
pr71	internal/service/claimservice/delete_test.go	replace	#87	correction and forget lifecycle	lifecycle owner-mutation tests	Replace v1 lifecycle expectations with owner-scoped V2 correction and forget behavior
pr71	internal/service/claimservice/list_test.go	replace	#87	correction and forget lifecycle	lifecycle owner-mutation tests	Replace v1 lifecycle expectations with owner-scoped V2 correction and forget behavior
pr71	internal/service/claimservice/read_test.go	replace	#87	correction and forget lifecycle	lifecycle owner-mutation tests	Replace v1 lifecycle expectations with owner-scoped V2 correction and forget behavior
pr71	internal/service/claimservice/support_test.go	replace	#87	correction and forget lifecycle	lifecycle owner-mutation tests	Replace v1 lifecycle expectations with owner-scoped V2 correction and forget behavior
pr71	internal/service/claimservice/verify_test.go	replace	#87	correction and forget lifecycle	lifecycle owner-mutation tests	Replace v1 lifecycle expectations with owner-scoped V2 correction and forget behavior
pr71	internal/service/communityservice/availability_test.go	replace	#90	PostgreSQL community snapshots	community snapshot and recall expansion tests	Replace Neo4j GDS behavior with bounded versioned PostgreSQL snapshots
pr71	internal/service/communityservice/leiden_test.go	replace	#90	PostgreSQL community snapshots	community snapshot and recall expansion tests	Replace Neo4j GDS behavior with bounded versioned PostgreSQL snapshots
pr71	internal/service/contextservice/context.go	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	internal/service/contextservice/semantic.go	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	internal/service/contextservice/semantic_test.go	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	internal/service/dreamservice/service.go	replace	#89	candidate-safe hypotheses	dream lifecycle and source-version tests	Keep generated hypotheses separate from evidence and default recall
pr71	internal/service/dreamservice/service_test.go	replace	#89	candidate-safe hypotheses	dream lifecycle and source-version tests	Keep generated hypotheses separate from evidence and default recall
pr71	internal/service/embeddingservice/service.go	replace	#84	version-safe embedding workers	embedding worker tests	Keep embeddings asynchronous derived state that cannot overwrite newer sources
pr71	internal/service/embeddingservice/service_test.go	replace	#84	version-safe embedding workers	embedding worker tests	Keep embeddings asynchronous derived state that cannot overwrite newer sources
pr71	internal/service/factservice/list_test.go	replace	#87	correction and forget lifecycle	lifecycle owner-mutation tests	Replace v1 lifecycle expectations with owner-scoped V2 correction and forget behavior
pr71	internal/service/factservice/promote_test.go	replace	#87	correction and forget lifecycle	lifecycle owner-mutation tests	Replace v1 lifecycle expectations with owner-scoped V2 correction and forget behavior
pr71	internal/service/factservice/read_test.go	replace	#87	correction and forget lifecycle	lifecycle owner-mutation tests	Replace v1 lifecycle expectations with owner-scoped V2 correction and forget behavior
pr71	internal/service/graphview/graphview.go	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	internal/service/graphview/graphview_test.go	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
pr71	internal/service/invariant_scan_service_test.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	internal/service/memoryservice/evidence_security.go	replace	#78	security and evidence ledger	real PostgreSQL ledger and RLS tests	Implement append-only security/evidence ledger under wiki RLS rules
pr71	internal/service/memoryservice/evidence_security_test.go	replace	#78	security and evidence ledger	real PostgreSQL ledger and RLS tests	Implement append-only security/evidence ledger under wiki RLS rules
pr71	internal/service/memoryservice/memory.go	replace	#81	durable remember intake	remember service and MCP contract tests	Route remember through durable V2 intake without activating production V2
pr71	internal/service/memoryservice/memory_test.go	replace	#81	durable remember intake	remember service and MCP contract tests	Route remember through durable V2 intake without activating production V2
pr71	internal/service/memoryservice/placement.go	replace	#83	atomic placement outcomes	placement worker and transaction tests	Rebuild placement leases and outcomes as atomic PostgreSQL state
pr71	internal/service/memoryservice/placement_dispute_test.go	replace	#83	atomic placement outcomes	placement worker and transaction tests	Rebuild placement leases and outcomes as atomic PostgreSQL state
pr71	internal/service/memoryservice/placement_helpers_test.go	replace	#83	atomic placement outcomes	placement worker and transaction tests	Rebuild placement leases and outcomes as atomic PostgreSQL state
pr71	internal/service/memoryservice/placement_queue_test.go	replace	#83	atomic placement outcomes	placement worker and transaction tests	Rebuild placement leases and outcomes as atomic PostgreSQL state
pr71	internal/service/memoryservice/placement_security.go	replace	#83	atomic placement outcomes	placement worker and transaction tests	Rebuild placement leases and outcomes as atomic PostgreSQL state
pr71	internal/service/memoryservice/placement_semantic_helpers.go	replace	#83	atomic placement outcomes	placement worker and transaction tests	Rebuild placement leases and outcomes as atomic PostgreSQL state
pr71	internal/service/memoryservice/placement_test.go	replace	#83	atomic placement outcomes	placement worker and transaction tests	Rebuild placement leases and outcomes as atomic PostgreSQL state
pr71	internal/service/memoryservice/semantic_ai.go	replace	#82	strict verifier pipeline	closed-schema verifier tests	Require complete validated provider output and zero partial semantic commit
pr71	internal/service/memoryservice/semantic_ai_test.go	replace	#82	strict verifier pipeline	closed-schema verifier tests	Require complete validated provider output and zero partial semantic commit
pr71	internal/service/memoryservice/semantic_review_conversion_test.go	replace	#82	strict verifier pipeline	closed-schema verifier tests	Require complete validated provider output and zero partial semantic commit
pr71	internal/service/memoryservice/semantic_security.go	replace	#78	security and evidence ledger	real PostgreSQL ledger and RLS tests	Implement append-only security/evidence ledger under wiki RLS rules
pr71	internal/service/memoryservice/semantic_security_test.go	replace	#78	security and evidence ledger	real PostgreSQL ledger and RLS tests	Implement append-only security/evidence ledger under wiki RLS rules
pr71	internal/service/memoryservice/semantic_verifier.go	replace	#82	strict verifier pipeline	closed-schema verifier tests	Require complete validated provider output and zero partial semantic commit
pr71	internal/service/memoryservice/semantic_verifier_test.go	replace	#82	strict verifier pipeline	closed-schema verifier tests	Require complete validated provider output and zero partial semantic commit
pr71	internal/service/recallservice/community_expansion.go	replace	#85	evidence-primary recall	recall ranking and branch degradation tests	Port recall with evidence-first ranking and bounded degradation
pr71	internal/service/recallservice/error_handling.go	replace	#85	evidence-primary recall	recall ranking and branch degradation tests	Port recall with evidence-first ranking and bounded degradation
pr71	internal/service/recallservice/public_response.go	replace	#85	evidence-primary recall	recall ranking and branch degradation tests	Port recall with evidence-first ranking and bounded degradation
pr71	internal/service/recallservice/public_response_test.go	replace	#85	evidence-primary recall	recall ranking and branch degradation tests	Port recall with evidence-first ranking and bounded degradation
pr71	internal/service/recallservice/recall.go	replace	#85	evidence-primary recall	recall ranking and branch degradation tests	Port recall with evidence-first ranking and bounded degradation
pr71	internal/service/recallservice/semantic.go	replace	#85	evidence-primary recall	recall ranking and branch degradation tests	Port recall with evidence-first ranking and bounded degradation
pr71	internal/service/recallservice/semantic_query.go	replace	#85	evidence-primary recall	recall ranking and branch degradation tests	Port recall with evidence-first ranking and bounded degradation
pr71	internal/service/recallservice/semantic_ranking.go	replace	#85	evidence-primary recall	recall ranking and branch degradation tests	Port recall with evidence-first ranking and bounded degradation
pr71	internal/service/recallservice/semantic_test.go	replace	#85	evidence-primary recall	recall ranking and branch degradation tests	Port recall with evidence-first ranking and bounded degradation
pr71	internal/storage/neo4j/client_test.go	replace	#93	read-only Neo4j migration input	migration adapter fixture tests	Retain only explicit bounded read-only migration adapter behavior until removal
pr71	internal/storage/neo4j/fragment_status_migration.go	replace	#93	read-only Neo4j migration input	migration adapter fixture tests	Retain only explicit bounded read-only migration adapter behavior until removal
pr71	internal/storage/neo4j/schema_live_test.go	replace	#93	read-only Neo4j migration input	migration adapter fixture tests	Retain only explicit bounded read-only migration adapter behavior until removal
pr71	internal/storage/neo4j/schema_test.go	replace	#93	read-only Neo4j migration input	migration adapter fixture tests	Retain only explicit bounded read-only migration adapter behavior until removal
pr71	internal/storage/postgres/client_test.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	internal/storage/postgres/schema_test.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	internal/storage/postgres/topology.go	replace	#77	dormant V2 bootstrap	config and bootstrap tests	Wire V2 only behind dormant validated topology and readiness gates
pr71	internal/storage/postgres/topology_test.go	replace	#77	dormant V2 bootstrap	config and bootstrap tests	Wire V2 only behind dormant validated topology and readiness gates
pr71	internal/tools/registry/context_tools.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	internal/tools/registry/context_tools_test.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	internal/tools/registry/dream_tools_test.go	replace	#89	candidate-safe hypotheses	dream lifecycle and source-version tests	Keep generated hypotheses separate from evidence and default recall
pr71	internal/tools/registry/evaluation_tools.go	replace	#88	feedback and evaluation tools	feedback snapshot and registry visibility tests	Port feedback and evaluation-only tools without mutating semantic truth
pr71	internal/tools/registry/evaluation_tools_test.go	replace	#88	feedback and evaluation tools	feedback snapshot and registry visibility tests	Port feedback and evaluation-only tools without mutating semantic truth
pr71	internal/tools/registry/memory_mcp_affordance_test.go	replace	#81	durable remember intake	remember service and MCP contract tests	Route remember through durable V2 intake without activating production V2
pr71	internal/tools/registry/memory_tools.go	replace	#81	durable remember intake	remember service and MCP contract tests	Route remember through durable V2 intake without activating production V2
pr71	internal/tools/registry/recall_dreams_test.go	replace	#89	candidate-safe hypotheses	dream lifecycle and source-version tests	Keep generated hypotheses separate from evidence and default recall
pr71	internal/tools/registry/recall_feedback_test.go	replace	#88	feedback and evaluation tools	feedback snapshot and registry visibility tests	Port feedback and evaluation-only tools without mutating semantic truth
pr71	internal/tools/registry/runtime_config.go	replace	#75	V2 contracts	owning issue acceptance tests	Use PR71 as evidence while freezing the wiki-conform contract first
pr71	internal/tools/registry/toolset.go	replace	#75	V2 contracts	owning issue acceptance tests	Use PR71 as evidence while freezing the wiki-conform contract first
pr71	internal/tools/registry/toolset_knowledge_test.go	replace	#88	feedback and evaluation tools	feedback snapshot and registry visibility tests	Port feedback and evaluation-only tools without mutating semantic truth
pr71	internal/tools/registry/toolset_recall_community_test.go	replace	#90	PostgreSQL community snapshots	community snapshot and recall expansion tests	Replace Neo4j GDS behavior with bounded versioned PostgreSQL snapshots
pr71	internal/tools/registry/toolset_test.go	replace	#88	feedback and evaluation tools	feedback snapshot and registry visibility tests	Port feedback and evaluation-only tools without mutating semantic truth
pr71	internal/verifier/openai_verifier_test.go	replace	#82	strict verifier pipeline	closed-schema verifier tests	Require complete validated provider output and zero partial semantic commit
pr71	internal/verifier/retry_verifier_test.go	replace	#82	strict verifier pipeline	closed-schema verifier tests	Require complete validated provider output and zero partial semantic commit
pr71	internal/verifier/verifier_test.go	replace	#82	strict verifier pipeline	closed-schema verifier tests	Require complete validated provider output and zero partial semantic commit
pr71	migrations/postgres/2026071001_semantic_relationships.sql	replace	#79	semantic identity and lifecycle	semantic repository integration tests	Use PR71 shape as evidence for normalized Entity Value Relationship ledger
pr71	migrations/postgres/2026071002_semantic_placement_relationship.sql	replace	#79	semantic identity and lifecycle	semantic repository integration tests	Use PR71 shape as evidence for normalized Entity Value Relationship ledger
pr71	migrations/postgres/2026071201_memory_placement_retry_state.sql	replace	#83	atomic placement outcomes	placement worker and transaction tests	Rebuild placement leases and outcomes as atomic PostgreSQL state
pr71	migrations/postgres/2026071601_memory_placement_relationship_outcomes.sql	replace	#79	semantic identity and lifecycle	semantic repository integration tests	Use PR71 shape as evidence for normalized Entity Value Relationship ledger
pr71	migrations/postgres/2026071602_semantic_search_embedding_flexible_dimensions.sql	replace	#80	versioned search and embeddings	pgvector search contract/generation tests	Implement versioned search documents and vector storage with activation gates
pr71	migrations/postgres/2026071603_semantic_evidence_security_events.sql	replace	#78	security and evidence ledger	real PostgreSQL ledger and RLS tests	Implement append-only security/evidence ledger under wiki RLS rules
pr71	migrations/postgres/2026071604_semantic_values_backfill.sql	replace	#79	semantic identity and lifecycle	semantic repository integration tests	Use PR71 shape as evidence for normalized Entity Value Relationship ledger
pr71	tests/compose/demo_e2e_test.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	tests/eval/.gitignore	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	tests/eval/README.md	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	tests/eval/docker-compose.eval-v2.yml	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	tests/eval/docker-compose.eval.yml	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	tests/eval/eval_scripts_test.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	tests/eval/scripts/prepare_public_6axis_eval.py	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	tests/eval/scripts/prepare_public_semantic_eval.py	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	tests/eval/scripts/run_full_public_rag_eval_lib.sh	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	tests/eval/scripts/run_full_public_rag_eval_until_done.sh	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	tests/integration/optional_redis_docs_test.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	tests/uat/README.md	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	tests/uat/auth-matrix.spec.ts	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	tests/uat/discoverability/package.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	tests/uat/discoverability/phase1_test.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	tests/uat/e2e-journey.spec.ts	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	tests/uat/package.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	tests/uat/phase8-mcp.spec.ts	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	tests/uat/testenv.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	web/src/App.recall-feedback.test.tsx	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	web/src/user/App.test.tsx	replace	#86	trace context graph and browser reads	graph trace and portal UAT	Expose graph-shaped reads from PostgreSQL without treating read models as truth
